T23_rep1	S_BV22_17_11	S_BV22_17_12	S_BV22_17_13	S_BV22_17_14	S_BV22_17_15	S_BV22_17_16	S_BV22_17_17	S_BV22_17_18	S_BV22_17_19	S_BV22_17_20
TRINITY_DN818_c0_g1_i6	1.30003834	-0.880427821	-0.880427821	-0.880427821	-0.880427821	-0.880427821	-0.038052333	0.849016186	0.459849584	1.831287328
TRINITY_DN161529_c0_g1_i1	-0.433810339	-0.783175617	-0.783175617	-0.783175617	-0.748959901	-0.783175617	0.555961768	1.192821341	0.214658716	2.352030883
TRINITY_DN5460_c4_g3_i2	2.106614581	-1.307520952	-1.307520952	-1.307520952	-1.307520952	-1.307520952	1.967933142	2.02318085	-0.379245391	0.819121579
TRINITY_DN295646_c0_g1_i1	1.693987494	-1.803369392	-1.803369392	-1.803369392	-1.803369392	-1.803369392	1.661690859	2.627718642	0.559801686	2.473648277
TRINITY_DN39_c0_g1_i41	0.95498845	-0.854425994	-0.854425994	-0.854425994	-0.854425994	-0.854425994	1.312610728	1.153128342	0.661084626	0.190317827
TRINITY_DN39_c0_g1_i73	1.579602101	-0.918904088	-0.918904088	-0.918904088	-0.918904088	-0.918904088	0.362645806	0.607665573	1.197127906	0.847479053
TRINITY_DN43878_c0_g1_i1	0.855863544	-0.923186009	-0.923186009	-0.923186009	-0.923186009	-0.923186009	0.836821978	1.023919042	1.432394138	0.466931344
TRINITY_DN4757_c0_g1_i2	1.814701013	-1.413501996	-1.413501996	-1.413501996	-1.413501996	-1.413501996	0.607622344	2.208022448	1.327857121	1.109307053
TRINITY_DN14867_c0_g1_i4	-0.605703473	-0.415404682	0.518624662	0.854252666	1.193383833	0.877660887	-0.605703473	-0.605703473	-0.605703473	-0.605703473
TRINITY_DN104329_c0_g1_i4	-0.892186049	1.782500571	0.457179229	0.48354849	1.136383103	0.526813416	-0.892186049	-0.892186049	-0.817680613	-0.892186049
TRINITY_DN4321_c0_g1_i5	1.800367388	-0.86274948	-0.86274948	-0.86274948	-0.86274948	-0.86274948	0.736568314	0.874937282	1.764623894	-0.86274948
TRINITY_DN247866_c0_g2_i1	1.478798751	-1.326700084	-1.270116556	-1.18919656	-1.326700084	-1.326700084	1.736630277	0.688726119	2.201120938	0.334137284
TRINITY_DN103288_c0_g1_i12	-0.562220867	0.47551276	0.563430234	0.516388967	0.181078661	1.074693713	-0.562220867	-0.562220867	-0.562220867	-0.562220867
TRINITY_DN310_c0_g1_i7	2.022668219	-0.993471484	-0.993471484	-0.993471484	-0.993471484	-0.993471484	0.046368781	0.780524841	1.02516269	1.092632887
TRINITY_DN5688_c0_g1_i3	1.972151686	-1.440223389	-1.440223389	-1.440223389	-1.440223389	-1.440223389	2.679630756	1.231522878	-1.440223389	2.758035011
TRINITY_DN97530_c0_g1_i1	1.021928783	-1.205504255	-1.205504255	-1.205504255	-1.205504255	-1.205504255	1.85506199	0.865228531	1.61620596	0.669096011
TRINITY_DN13495_c0_g1_i1	1.767168205	-0.867425063	-0.867425063	-0.867425063	-0.867425063	-0.867425063	1.629037286	-0.019428157	1.239928035	-0.279580054
TRINITY_DN2076_c0_g2_i1	-0.354123781	0.045320783	0.186895372	1.008205829	0.444963525	0.085233397	-0.354123781	-0.354123781	-0.354123781	-0.354123781
TRINITY_DN2176_c0_g2_i14	-1.028633955	0.699068718	1.439949362	1.238602187	0.854204701	0.91134481	-1.028633955	-1.028633955	-1.028633955	-1.028633955
TRINITY_DN4740_c0_g1_i3	1.63717261	-1.311054433	-1.311054433	-1.311054433	-1.311054433	-1.311054433	1.21726683	1.494031613	0.096026342	2.110774771
TRINITY_DN114064_c0_g1_i1	1.578185511	-1.977139848	-1.977139848	-1.977139848	-1.977139848	-1.977139848	2.181601104	1.045938041	2.982352126	2.097622456
TRINITY_DN28264_c0_g2_i1	1.476333882	-1.182448852	-1.182448852	-1.182448852	-1.067415609	-1.182448852	2.178617637	0.599120693	1.555021597	-0.011882795
